['https://official-complete.granpulse.us/manga/Toukyou-Kushu-Jack/0002-013.png', 18, '138', 'Error dl']
['https://official-complete.granpulse.us/manga/Toukyou-Kushu-Jack/0001-065.png', 17, '17', 'Error dl']
['https://official-complete.granpulse.us/manga/Toukyou-Kushu-Jack/0001-049.png', 17, '67', 'Error dl']
['https://official-complete.granpulse.us/manga/Toukyou-Kushu-Jack/0001-066.png', 17, '34', 'Error dl']
['https://official-complete.granpulse.us/manga/Toukyou-Kushu-Jack/0001-071.png', 17, '69', 'Error dl']
['https://official-complete.granpulse.us/manga/Toukyou-Kushu-Jack/0001-073.png', 17, '162', 'Error dl']
['https://official-complete.granpulse.us/manga/Toukyou-Kushu-Jack/0001-072.png', 17, '55', 'Error dl']
['https://official-complete.granpulse.us/manga/Toukyou-Kushu-Jack/0001-074.png', 17, '7', 'Error dl']
['https://official-complete.granpulse.us/manga/Toukyou-Kushu-Jack/0001-080.png', 17, '33', 'Error dl']
['https://official-complete.granpulse.us/manga/Toukyou-Kushu-Jack/0001-075.png', 17, '27', 'Error dl']
['https://official-complete.granpulse.us/manga/Toukyou-Kushu-Jack/0001-076.png', 17, '88', 'Error dl']
['https://official-complete.granpulse.us/manga/Toukyou-Kushu-Jack/0001-081.png', 17, '113', 'Error dl']
['https://official-complete.granpulse.us/manga/Toukyou-Kushu-Jack/0002-023.png', 18, '140', 'Error dl']
['https://official-complete.granpulse.us/manga/Toukyou-Kushu-Jack/0001-077.png', 17, '28', 'Error dl']
['https://official-complete.granpulse.us/manga/Toukyou-Kushu-Jack/0001-082.png', 17, '146', 'Error dl']
['https://official-complete.granpulse.us/manga/Toukyou-Kushu-Jack/0001-084.png', 17, '92', 'Error dl']
['https://official-complete.granpulse.us/manga/Toukyou-Kushu-Jack/0002-005.png', 18, '30', 'Error dl']
['https://official-complete.granpulse.us/manga/Toukyou-Kushu-Jack/0001-069.png', 17, '38', 'Error dl']
['https://official-complete.granpulse.us/manga/Toukyou-Kushu-Jack/0001-085.png', 17, '107', 'Error dl']
['https://official-complete.granpulse.us/manga/Toukyou-Kushu-Jack/0002-006.png', 18, '6', 'Error dl']
['https://official-complete.granpulse.us/manga/Toukyou-Kushu-Jack/0003-002.png', 19, '128', 'Error dl']
['https://official-complete.granpulse.us/manga/Toukyou-Kushu-Jack/0002-008.png', 18, '141', 'Error dl']
['https://official-complete.granpulse.us/manga/Toukyou-Kushu-Jack/0002-007.png', 18, '76', 'Error dl']
['https://official-complete.granpulse.us/manga/Toukyou-Kushu-Jack/0002-015.png', 18, '51', 'Error dl']
['https://official-complete.granpulse.us/manga/Toukyou-Kushu-Jack/0001-079.png', 17, '5', 'Error dl']
['https://official-complete.granpulse.us/manga/Toukyou-Kushu-Jack/0002-010.png', 18, '114', 'Error dl']
['https://official-complete.granpulse.us/manga/Toukyou-Kushu-Jack/0002-016.png', 18, '153', 'Error dl']
['https://official-complete.granpulse.us/manga/Toukyou-Kushu-Jack/0003-012.png', 19, '158', 'Error dl']
['https://official-complete.granpulse.us/manga/Toukyou-Kushu-Jack/0002-011.png', 18, '12', 'Error dl']
['https://official-complete.granpulse.us/manga/Toukyou-Kushu-Jack/0002-012.png', 18, '137', 'Error dl']
['https://official-complete.granpulse.us/manga/Toukyou-Kushu-Jack/0002-018.png', 18, '19', 'Error dl']
['https://official-complete.granpulse.us/manga/Toukyou-Kushu-Jack/0002-017.png', 18, '134', 'Error dl']
['https://official-complete.granpulse.us/manga/Toukyou-Kushu-Jack/0002-004.png', 18, '105', 'Error dl']
